,Old Region,New Region,Number
0,6.0,113,1
1,32.0,969,1
2,39.0,680,1
3,45.0,579,1
4,45.0,969,2
5,45.0,993,1
6,50.0,574,1
7,63.0,477,1
8,64.0,186,1
9,71.0,80,1
10,71.0,113,7
11,71.0,186,1
12,71.0,273,1
13,71.0,287,1
14,71.0,299,1
15,71.0,403,1
16,71.0,478,1
17,71.0,572,1
18,71.0,592,1
19,71.0,659,2
20,71.0,691,1
21,71.0,798,1
22,71.0,969,15
23,71.0,993,2
24,71.0,1019,1
25,71.0,1033,1
26,71.0,1051,1
27,77.0,897,1
28,77.0,969,2
29,78.0,113,1
30,78.0,477,1
31,78.0,559,1
32,79.0,631,1
33,79.0,969,1
34,82.0,993,1
35,92.0,969,1
36,97.0,45,1
37,97.0,630,1
38,97.0,680,1
39,97.0,969,1
40,98.0,113,1
41,98.0,277,1
42,98.0,403,2
43,98.0,644,1
44,98.0,659,1
45,98.0,800,1
46,98.0,969,3
47,98.0,993,1
48,103.0,969,1
49,106.0,403,1
50,106.0,969,3
51,111.0,969,1
52,112.0,969,1
53,112.0,993,1
54,113.0,71,3
55,113.0,113,1
56,113.0,160,1
57,113.0,186,1
58,113.0,221,1
59,113.0,246,1
60,113.0,273,1
61,113.0,277,1
62,113.0,287,2
63,113.0,295,1
64,113.0,299,1
65,113.0,403,1
66,113.0,477,1
67,113.0,559,1
68,113.0,630,1
69,113.0,631,1
70,113.0,659,1
71,113.0,660,1
72,113.0,715,1
73,113.0,831,1
74,113.0,969,23
75,113.0,993,5
76,113.0,1051,1
77,118.0,773,1
78,119.0,46,1
79,120.0,969,1
80,128.0,757,1
81,131.0,246,1
82,133.0,969,1
83,134.0,113,1
84,134.0,969,1
85,137.0,287,1
86,137.0,572,1
87,139.0,299,1
88,139.0,323,1
89,139.0,969,2
90,141.0,969,1
91,147.0,969,1
92,160.0,135,1
93,160.0,277,1
94,160.0,299,1
95,160.0,477,1
96,160.0,969,3
97,160.0,993,1
98,160.0,1056,1
99,164.0,773,1
100,186.0,97,1
101,186.0,113,1
102,186.0,323,1
103,186.0,569,1
104,186.0,709,1
105,186.0,773,1
106,186.0,969,7
107,186.0,993,3
108,192.0,78,1
109,192.0,81,1
110,192.0,113,1
111,192.0,715,1
112,192.0,850,1
113,192.0,969,4
114,192.0,993,1
115,218.0,71,1
116,218.0,79,1
117,218.0,773,1
118,218.0,969,1
119,221.0,113,1
120,221.0,773,1
121,221.0,969,4
122,233.0,993,1
123,241.0,969,1
124,246.0,113,1
125,246.0,630,1
126,246.0,660,1
127,246.0,969,1
128,246.0,1116,1
129,248.0,969,1
130,250.0,969,1
131,255.0,273,1
132,255.0,993,1
133,259.0,92,1
134,259.0,993,1
135,263.0,263,1
136,263.0,993,1
137,273.0,111,1
138,273.0,123,1
139,273.0,131,1
140,273.0,155,1
141,273.0,273,3
142,273.0,287,1
143,273.0,403,1
144,273.0,404,1
145,273.0,592,1
146,273.0,598,1
147,273.0,613,1
148,273.0,630,1
149,273.0,757,1
150,273.0,893,1
151,273.0,969,10
152,273.0,993,2
153,277.0,104,1
154,277.0,113,2
155,277.0,186,1
156,277.0,339,1
157,277.0,403,1
158,277.0,572,2
159,277.0,601,1
160,277.0,969,12
161,287.0,71,1
162,287.0,112,1
163,287.0,113,2
164,287.0,160,1
165,287.0,221,1
166,287.0,277,1
167,287.0,287,1
168,287.0,404,1
169,287.0,660,1
170,287.0,706,1
171,287.0,798,1
172,287.0,969,17
173,287.0,993,1
174,287.0,1011,1
175,287.0,1033,1
176,294.0,113,1
177,295.0,113,1
178,295.0,128,1
179,295.0,160,1
180,295.0,554,1
181,295.0,969,1
182,299.0,160,1
183,299.0,287,1
184,299.0,566,1
185,299.0,579,1
186,299.0,897,1
